Model #Params: 5110K
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:46: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:44: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
KL: 959.6, Word: 90.45, Topo: 98.47, Assm: 91.86, Steo: 100.00
KL: 928.3, Word: 90.69, Topo: 98.54, Assm: 91.20, Steo: 100.00
KL: 912.0, Word: 90.38, Topo: 98.67, Assm: 91.56, Steo: 100.00
KL: 943.0, Word: 90.69, Topo: 98.72, Assm: 92.12, Steo: 100.00
KL: 970.7, Word: 90.51, Topo: 98.54, Assm: 91.22, Steo: 100.00
KL: 922.7, Word: 89.92, Topo: 98.65, Assm: 91.66, Steo: 100.00
KL: 966.4, Word: 89.89, Topo: 98.46, Assm: 91.29, Steo: 100.00
KL: 924.8, Word: 90.90, Topo: 98.64, Assm: 92.72, Steo: 100.00
KL: 946.6, Word: 91.02, Topo: 98.51, Assm: 91.22, Steo: 100.00
KL: 955.5, Word: 90.18, Topo: 98.50, Assm: 91.98, Steo: 100.00
KL: 979.6, Word: 89.68, Topo: 98.50, Assm: 92.02, Steo: 100.00
KL: 992.3, Word: 89.94, Topo: 98.35, Assm: 92.01, Steo: 100.00
KL: 891.2, Word: 90.59, Topo: 98.45, Assm: 91.74, Steo: 100.00
KL: 945.6, Word: 90.73, Topo: 98.48, Assm: 91.52, Steo: 100.00
KL: 1062.1, Word: 91.19, Topo: 98.50, Assm: 92.21, Steo: 100.00
KL: 1009.1, Word: 90.82, Topo: 98.56, Assm: 91.54, Steo: 100.00
KL: 966.1, Word: 90.65, Topo: 98.50, Assm: 91.29, Steo: 100.00
KL: 963.9, Word: 91.28, Topo: 98.46, Assm: 92.00, Steo: 100.00
KL: 936.0, Word: 90.46, Topo: 98.20, Assm: 92.25, Steo: 100.00
KL: 963.6, Word: 91.19, Topo: 98.61, Assm: 92.52, Steo: 100.00
KL: 1000.8, Word: 90.87, Topo: 98.63, Assm: 91.41, Steo: 100.00
KL: 968.9, Word: 91.33, Topo: 98.57, Assm: 92.81, Steo: 100.00
KL: 991.9, Word: 90.62, Topo: 98.69, Assm: 92.11, Steo: 100.00
KL: 987.2, Word: 91.43, Topo: 98.71, Assm: 91.15, Steo: 100.00
KL: 983.4, Word: 91.75, Topo: 98.80, Assm: 93.10, Steo: 100.00
KL: 1023.3, Word: 90.79, Topo: 98.76, Assm: 91.98, Steo: 100.00
KL: 978.1, Word: 90.89, Topo: 98.76, Assm: 91.92, Steo: 100.00
KL: 941.4, Word: 91.29, Topo: 98.72, Assm: 92.52, Steo: 100.00
KL: 951.8, Word: 91.07, Topo: 98.73, Assm: 92.67, Steo: 100.00
KL: 989.9, Word: 90.73, Topo: 98.71, Assm: 93.15, Steo: 100.00
KL: 999.5, Word: 90.73, Topo: 98.70, Assm: 92.03, Steo: 100.00
KL: 1028.9, Word: 90.65, Topo: 98.54, Assm: 91.36, Steo: 100.00
KL: 921.8, Word: 90.98, Topo: 98.63, Assm: 92.99, Steo: 100.00
KL: 994.5, Word: 91.33, Topo: 98.72, Assm: 92.18, Steo: 100.00
KL: 973.5, Word: 91.09, Topo: 98.81, Assm: 91.62, Steo: 100.00
KL: 984.3, Word: 90.74, Topo: 98.60, Assm: 92.17, Steo: 100.00
KL: 974.4, Word: 91.42, Topo: 98.70, Assm: 91.61, Steo: 100.00
KL: 958.7, Word: 90.92, Topo: 98.65, Assm: 92.08, Steo: 100.00
KL: 1016.0, Word: 91.68, Topo: 98.31, Assm: 93.67, Steo: 100.00
KL: 967.7, Word: 90.80, Topo: 98.18, Assm: 91.05, Steo: 100.00
KL: 929.2, Word: 91.06, Topo: 98.61, Assm: 92.52, Steo: 98.75
KL: 1020.4, Word: 90.87, Topo: 98.75, Assm: 91.97, Steo: 100.00
KL: 971.1, Word: 90.57, Topo: 98.67, Assm: 92.47, Steo: 100.00
KL: 920.2, Word: 90.86, Topo: 98.71, Assm: 92.24, Steo: 100.00
KL: 958.1, Word: 91.16, Topo: 98.62, Assm: 92.13, Steo: 100.00
KL: 981.7, Word: 91.38, Topo: 98.83, Assm: 92.25, Steo: 100.00
KL: 1045.1, Word: 91.45, Topo: 98.75, Assm: 92.74, Steo: 100.00
KL: 977.5, Word: 91.36, Topo: 98.69, Assm: 92.64, Steo: 100.00
KL: 969.2, Word: 91.27, Topo: 98.71, Assm: 93.78, Steo: 100.00
KL: 1025.0, Word: 91.56, Topo: 98.80, Assm: 92.21, Steo: 100.00
KL: 975.2, Word: 91.61, Topo: 98.74, Assm: 93.44, Steo: 100.00
KL: 1026.7, Word: 91.77, Topo: 98.72, Assm: 93.23, Steo: 100.00
KL: 983.9, Word: 91.51, Topo: 98.67, Assm: 93.39, Steo: 100.00
KL: 958.3, Word: 91.58, Topo: 98.89, Assm: 93.15, Steo: 100.00
KL: 1018.5, Word: 91.42, Topo: 98.74, Assm: 92.68, Steo: 100.00
KL: 990.9, Word: 92.01, Topo: 98.75, Assm: 93.18, Steo: 100.00
